(dyn/cm2)      (K)     (cm)
Pressure     Temp    Hight       CH4        CO       CO2      C2H2        H2         H       H2O       HCN        He       NH3        O2        NO        OH
5.443E+01   950.1  3.68E+08  3.73E-10  4.64E-04  3.37E-07  7.81E-19  8.37E-01  6.92E-08  3.39E-04  1.26E-12  1.62E-01  2.85E-10  1.01E-24  3.59E-19  5.38E-14
4.642E+01   943.0  3.70E+08  3.36E-10  4.64E-04  3.49E-07  5.94E-19  8.37E-01  6.07E-08  3.39E-04  1.08E-12  1.62E-01  2.56E-10  7.37E-25  2.81E-19  4.44E-14
3.958E+01   935.8  3.73E+08  3.04E-10  4.64E-04  3.61E-07  4.52E-19  8.37E-01  5.29E-08  3.39E-04  9.22E-13  1.62E-01  2.31E-10  5.32E-25  2.18E-19  3.64E-14
3.375E+01   928.6  3.75E+08  2.77E-10  4.64E-04  3.74E-07  3.44E-19  8.37E-01  4.59E-08  3.39E-04  7.90E-13  1.62E-01  2.08E-10  3.81E-25  1.69E-19  2.97E-14
2.878E+01   921.7  3.78E+08  2.50E-10  4.64E-04  3.87E-07  2.62E-19  8.37E-01  4.01E-08  3.39E-04  6.76E-13  1.62E-01  1.87E-10  2.76E-25  1.31E-19  2.44E-14
2.454E+01   914.9  3.80E+08  2.26E-10  4.64E-04  4.00E-07  1.99E-19  8.37E-01  3.50E-08  3.39E-04  5.79E-13  1.62E-01  1.68E-10  2.01E-25  1.03E-19  2.01E-14
2.093E+01   908.6  3.83E+08  2.02E-10  4.64E-04  4.14E-07  1.51E-19  8.37E-01  3.10E-08  3.39E-04  4.96E-13  1.62E-01  1.50E-10  1.50E-25  8.15E-20  1.68E-14
1.785E+01   902.0  3.85E+08  1.82E-10  4.64E-04  4.28E-07  1.15E-19  8.37E-01  2.70E-08  3.39E-04  4.25E-13  1.62E-01  1.35E-10  1.09E-25  6.36E-20  1.38E-14
1.522E+01   896.2  3.87E+08  1.61E-10  4.64E-04  4.42E-07  8.68E-20  8.37E-01  2.42E-08  3.39E-04  3.63E-13  1.62E-01  1.21E-10  8.33E-26  5.14E-20  1.17E-14
1.298E+01   890.4  3.90E+08  1.42E-10  4.64E-04  4.56E-07  6.57E-20  8.37E-01  2.16E-08  3.39E-04  3.11E-13  1.62E-01  1.08E-10  6.34E-26  4.14E-20  9.88E-15
