Temperature [K]	Metal-rich	Ultramafic	Feldspathic	Basaltic	Granitoid	Clay	Ice-rich silicate	Fe-oxidized	
150.806315	1.143639e+01	1.091753e+01	1.128300e+01	1.224843e+01	9.623118e+00	1.174498e+01	1.267392e+01	1.130334e+01	
151.259222	1.163376e+01	1.110621e+01	1.147653e+01	1.245882e+01	9.792512e+00	1.194856e+01	1.289092e+01	1.149933e+01	
151.713488	1.183422e+01	1.129783e+01	1.167307e+01	1.267247e+01	9.964610e+00	1.215534e+01	1.311128e+01	1.169840e+01	
152.169119	1.203780e+01	1.149245e+01	1.187265e+01	1.288945e+01	1.013945e+01	1.236537e+01	1.333506e+01	1.190061e+01	
152.626118	1.224455e+01	1.169009e+01	1.207533e+01	1.310979e+01	1.031708e+01	1.257868e+01	1.356230e+01	1.210601e+01	
153.084490	1.245451e+01	1.189081e+01	1.228115e+01	1.333354e+01	1.049753e+01	1.279534e+01	1.379304e+01	1.231462e+01	
153.544238	1.266773e+01	1.209465e+01	1.249014e+01	1.356075e+01	1.068084e+01	1.301538e+01	1.402733e+01	1.252650e+01	
154.005367	1.288427e+01	1.230164e+01	1.270236e+01	1.379147e+01	1.086705e+01	1.323885e+01	1.426524e+01	1.274170e+01	
154.467881	1.310415e+01	1.251184e+01	1.291785e+01	1.402575e+01	1.105621e+01	1.346581e+01	1.450680e+01	1.296027e+01	
154.931783	1.332743e+01	1.272529e+01	1.313665e+01	1.426363e+01	1.124836e+01	1.369629e+01	1.475206e+01	1.318224e+01	
155.397079	1.355416e+01	1.294204e+01	1.335882e+01	1.450518e+01	1.144354e+01	1.393036e+01	1.500108e+01	1.340768e+01	
155.863773	1.378438e+01	1.316212e+01	1.358439e+01	1.475043e+01	1.164180e+01	1.416806e+01	1.525392e+01	1.363662e+01	
156.331868	1.401815e+01	1.338559e+01	1.381342e+01	1.499943e+01	1.184317e+01	1.440943e+01	1.551061e+01	1.386912e+01	
